Id,Sepallengthincm,Sepalwidthincm,Petalleangthincm,Petalwidthincm,Species,sqrofsepllength,zeros
47,4.6,3.2,1.4,0.2,Iris-setosa,21.159999999999997,47
48,5.3,3.7,1.5,0.2,Iris-setosa,28.09,48
49,5.0,3.3,1.4,0.2,Iris-setosa,25.0,49
50,7.0,3.2,4.7,1.4,Iris-versicolor,49.0,50
51,6.4,3.2,4.5,1.5,Iris-versicolor,40.96000000000001,51
52,6.9,3.1,4.9,1.5,Iris-versicolor,47.61000000000001,52
53,5.5,2.3,4.0,1.3,Iris-versicolor,30.25,53
54,6.5,2.8,4.6,1.5,Iris-versicolor,42.25,54
55,5.7,2.8,4.5,1.3,Iris-versicolor,32.49,55
56,6.3,3.3,4.7,1.6,Iris-versicolor,39.69,56
57,4.9,2.4,3.3,1.0,Iris-versicolor,24.010000000000005,57
58,6.6,2.9,4.6,1.3,Iris-versicolor,43.559999999999995,58
59,5.2,2.7,3.9,1.4,Iris-versicolor,27.040000000000003,59
60,5.0,2.0,3.5,1.0,Iris-versicolor,25.0,60
61,5.9,3.0,4.2,1.5,Iris-versicolor,34.81,61
62,6.0,2.2,4.0,1.0,Iris-versicolor,36.0,62
63,6.1,2.9,4.7,1.4,Iris-versicolor,37.209999999999994,63
64,5.6,2.9,3.6,1.3,Iris-versicolor,31.359999999999996,64
65,6.7,3.1,4.4,1.4,Iris-versicolor,44.89,65
66,5.6,3.0,4.5,1.5,Iris-versicolor,31.359999999999996,66
67,5.8,2.7,4.1,1.0,Iris-versicolor,33.64,67
68,6.2,2.2,4.5,1.5,Iris-versicolor,38.440000000000005,68
69,5.6,2.5,3.9,1.1,Iris-versicolor,31.359999999999996,69
70,5.9,3.2,4.8,1.8,Iris-versicolor,34.81,70
71,6.1,2.8,4.0,1.3,Iris-versicolor,37.209999999999994,71
72,6.3,2.5,4.9,1.5,Iris-versicolor,39.69,72
73,6.1,2.8,4.7,1.2,Iris-versicolor,37.209999999999994,73
74,6.4,2.9,4.3,1.3,Iris-versicolor,40.96000000000001,74
75,6.6,3.0,4.4,1.4,Iris-versicolor,43.559999999999995,75
76,6.8,2.8,4.8,1.4,Iris-versicolor,46.239999999999995,76
77,6.7,3.0,5.0,1.7,Iris-versicolor,44.89,77
78,6.0,2.9,4.5,1.5,Iris-versicolor,36.0,78
79,5.7,2.6,3.5,1.0,Iris-versicolor,32.49,79
80,5.5,2.4,3.8,1.1,Iris-versicolor,30.25,80
81,5.5,2.4,3.7,1.0,Iris-versicolor,30.25,81
82,5.8,2.7,3.9,1.2,Iris-versicolor,33.64,82
83,6.0,2.7,5.1,1.6,Iris-versicolor,36.0,83
84,5.4,3.0,4.5,1.5,Iris-versicolor,29.160000000000004,84
85,6.0,3.4,4.5,1.6,Iris-versicolor,36.0,85
86,6.7,3.1,4.7,1.5,Iris-versicolor,44.89,86
87,6.3,2.3,4.4,1.3,Iris-versicolor,39.69,87
88,5.6,3.0,4.1,1.3,Iris-versicolor,31.359999999999996,88
89,5.5,2.5,4.0,1.3,Iris-versicolor,30.25,89
90,5.5,2.6,4.4,1.2,Iris-versicolor,30.25,90
91,6.1,3.0,4.6,1.4,Iris-versicolor,37.209999999999994,91
92,5.8,2.6,4.0,1.2,Iris-versicolor,33.64,92
93,5.0,2.3,3.3,1.0,Iris-versicolor,25.0,93
94,5.6,2.7,4.2,1.3,Iris-versicolor,31.359999999999996,94
95,5.7,3.0,4.2,1.2,Iris-versicolor,32.49,95
96,5.7,2.9,4.2,1.3,Iris-versicolor,32.49,96
97,6.2,2.9,4.3,1.3,Iris-versicolor,38.440000000000005,97
98,5.1,2.5,3.0,1.1,Iris-versicolor,26.009999999999998,98
99,5.7,2.8,4.1,1.3,Iris-versicolor,32.49,99
100,6.3,3.3,6.0,2.5,Iris-virginica,39.69,100
101,5.8,2.7,5.1,1.9,Iris-virginica,33.64,101
102,7.1,3.0,5.9,2.1,Iris-virginica,50.41,102
103,6.3,2.9,5.6,1.8,Iris-virginica,39.69,103
104,6.5,3.0,5.8,2.2,Iris-virginica,42.25,104
105,7.6,3.0,6.6,2.1,Iris-virginica,57.76,105
106,4.9,2.5,4.5,1.7,Iris-virginica,24.010000000000005,106
107,7.3,2.9,6.3,1.8,Iris-virginica,53.29,107
108,6.7,2.5,5.8,1.8,Iris-virginica,44.89,108
109,7.2,3.6,6.1,2.5,Iris-virginica,51.84,109
110,6.5,3.2,5.1,2.0,Iris-virginica,42.25,110
111,6.4,2.7,5.3,1.9,Iris-virginica,40.96000000000001,111
112,6.8,3.0,5.5,2.1,Iris-virginica,46.239999999999995,112
113,5.7,2.5,5.0,2.0,Iris-virginica,32.49,113
114,5.8,2.8,5.1,2.4,Iris-virginica,33.64,114
115,6.4,3.2,5.3,2.3,Iris-virginica,40.96000000000001,115
116,6.5,3.0,5.5,1.8,Iris-virginica,42.25,116
117,7.7,3.8,6.7,2.2,Iris-virginica,59.290000000000006,117
118,7.7,2.6,6.9,2.3,Iris-virginica,59.290000000000006,118
119,6.0,2.2,5.0,1.5,Iris-virginica,36.0,119
120,6.9,3.2,5.7,2.3,Iris-virginica,47.61000000000001,120
121,5.6,2.8,4.9,2.0,Iris-virginica,31.359999999999996,121
122,7.7,2.8,6.7,2.0,Iris-virginica,59.290000000000006,122
123,6.3,2.7,4.9,1.8,Iris-virginica,39.69,123
124,6.7,3.3,5.7,2.1,Iris-virginica,44.89,124
125,7.2,3.2,6.0,1.8,Iris-virginica,51.84,125
126,6.2,2.8,4.8,1.8,Iris-virginica,38.440000000000005,126
127,6.1,3.0,4.9,1.8,Iris-virginica,37.209999999999994,127
128,6.4,2.8,5.6,2.1,Iris-virginica,40.96000000000001,128
129,7.2,3.0,5.8,1.6,Iris-virginica,51.84,129
130,7.4,2.8,6.1,1.9,Iris-virginica,54.760000000000005,130
131,7.9,3.8,6.4,2.0,Iris-virginica,62.410000000000004,131
132,6.4,2.8,5.6,2.2,Iris-virginica,40.96000000000001,132
133,6.3,2.8,5.1,1.5,Iris-virginica,39.69,133
134,6.1,2.6,5.6,1.4,Iris-virginica,37.209999999999994,134
135,7.7,3.0,6.1,2.3,Iris-virginica,59.290000000000006,135
136,6.3,3.4,5.6,2.4,Iris-virginica,39.69,136
137,6.4,3.1,5.5,1.8,Iris-virginica,40.96000000000001,137
138,6.0,3.0,4.8,1.8,Iris-virginica,36.0,138
139,6.9,3.1,5.4,2.1,Iris-virginica,47.61000000000001,139
140,6.7,3.1,5.6,2.4,Iris-virginica,44.89,140
141,6.9,3.1,5.1,2.3,Iris-virginica,47.61000000000001,141
142,5.8,2.7,5.1,1.9,Iris-virginica,33.64,142
143,6.8,3.2,5.9,2.3,Iris-virginica,46.239999999999995,143
144,6.7,3.3,5.7,2.5,Iris-virginica,44.89,144
145,6.7,3.0,5.2,2.3,Iris-virginica,44.89,145
146,6.3,2.5,5.0,1.9,Iris-virginica,39.69,146
147,6.5,3.0,5.2,2.0,Iris-virginica,42.25,147
148,6.2,3.4,5.4,2.3,Iris-virginica,38.440000000000005,148
149,5.9,3.0,5.1,1.8,Iris-virginica,34.81,149
